8	18	245	8	0	0	0	0	0	1	
9	17	740	5	1	0	0	1	1	0	
10	16	350	10	1	0	1	0	1	0	
11	19	125	6	1	0	0	0	1	1	
12	16	350	7	1	0	0	1	0	0	
13	28	885	8	0	1	0	0	0	0	
14	1	870	9	1	0	1	0	0	0	
15	4	275	5	1	0	1	0	0	0	
16	24	100	8	0	0	0	0	0	1	
17	1	425	10	0	0	0	1	1	0	
18	1	925	5	0	1	0	0	0	0	
19	29	730	8	1	1	0	0	0	0	
20	16	275	6	1	0	1	0	1	0	
21	30	550	9	0	0	0	0	0	1	
22	2	555	6	0	0	0	1	1	1	
23	14	315	6	0	0	0	0	0	1	
24	31	440	9	0	1	1	0	0	1	
25	1	150	10	1	0	1	0	1	0	
26	14	250	9	0	0	0	0	1	0	
27	1	520	7	0	1	0	0	0	0	
28	1	275	6	0	0	1	0	1	1	
29	1	890	9	1	1	0	0	0	1	
30	1	930	10	0	1	0	1	0	0	
31	1	770	7	1	0	0	0	1	1	
32	4	615	9	0	1	0	0	0	0	
33	22	260	5	1	0	0	0	0	0	
34	5	360	7	0	1	1	0	0	0	
35	24	105	7	0	0	1	1	1	0	
36	20	150	8	0	1	0	0	1	1	
37	9	965	6	1	0	0	0	1	0	
38	32	890	5	0	1	0	0	1	0	
39	1	975	10	1	0	0	0	0	1	
40	10	465	5	0	1	0	0	1	0	
41	24	555	10	0	0	1	1	0	1	
42	4	140	6	0	0	0	0	1	0	
43	17	990	9	1	1	0	0	1	0	
44	6	730	9	1	0	0	0	1	0	
45	22	545	10	0	0	0	0	1	1	
46	23	340	5	1	0	0	0	0	0	
47	1	445	7	1	0	0	0	0	0	
48	1	660	5	0	1	0	0	1	1	
49	2	845	7	1	1	0	0	0	1	
50	33	960	9	0	1	1	0	0	1	
51	14	585	8	0	0	0	0	1	0	
52	10	685	8	0	0	0	0	1	1	
53	5	965	7	1	0	1	1	0	0	
54	2	475	10	0	1	0	1	0	1	
55	25	115	6	0	1	0	1	0	1	
56	11	305	9	1	0	0	1	1	0	
57	20	515	10	0	1	1	1	0	0	
58	34	935	8	0	0	1	1	0	0	
59	11	225	5	1	0	1	0	0	0	
60	22	605	7	0	1	1	0	1	0	
61	7	220	9	0	0	1	1	0	0	
62	35	340	10	0	1	0	0	1	0	
63	11	240	8	1	0	0	0	0	0	
64	36	985	5	1	1	0	0	1	0	
65	19	980	10	1	1	0	0	0	0	
66	5	390	8	0	0	1	1	0	1	
67	8	405	10	1	0	0	1	1	0	
68	19	155	8	0	0	0	1	0	1	
69	6	940	8	1	1	0	1	0	0	
70	8	740	10	0	1	0	0	0	1	
71	23	495	8	0	0	0	1	0	1	
72	37	750	9	0	0	0	0	1	1	
73	1	965	10	0	0	1	0	1	1	
74	20	825	8	0	1	0	0	0	0	
75	19	420	8	0	0	1	0	0	0	
76	14	680	9	0	1	1	0	0	1	
77	24	760	6	1	0	0	0	1	0	
78	8	565	5	1	0	0	0	1	1	
79	20	990	8	1	1	0	1	0	0	
80	38	675	10	1	1	0	1	0	0	
81	39	520	5	0	1	0	0	0	0	
82	2	180	7	0	0	1	1	0	0	
83	4	400	6	0	0	0	0	1	0	
84	23	140	9	0	1	0	1	0	1	
85	8	910	10	1	0	0	0	0	0	
86	18	510	10	1	0	1	0	0	1	
87	1	850	6	0	0	1	1	0	1	
88	40	160	6	0	0	0	1	0	0	
89	41	520	5	0	0	1	1	0	1	
90	1	920	5	1	0	1	0	1	0	
91	2	870	9	0	1	0	0	0	1	
92	1	160	7	0	0	0	0	0	1	
93	19	900	9	1	0	0	0	1	1	
94	22	450	7	0	0	1	0	1	0	
95	5	640	7	1	0	0	0	1	0	
96	5	295	8	0	0	0	1	0	0	
97	13	300	6	0	0	0	0	1	1	
98	10	960	5	0	0	0	0	0	1	
99	21	225	9	1	0	0	0	1	1	
100	1	170	6	0	1	0	0	0	0	
101	8	740	10	0	1	0	0	0	1	
102	6	940	8	1	1	0	1	0	0	
103	1	850	6	0	0	1	1	0	1	
104	17	740	5	1	0	0	1	1	0	
105	6	730	9	1	0	0	0	1	0	
106	17	740	5	1	0	0	1	1	0	
107	9	825	8	0	1	1	1	0	0	
108	20	515	10	0	1	1	1	0	0	
109	1	965	10	0	0	1	0	1	1	
110	14	315	6	0	0	0	0	0	1	
111	33	960	9	0	1	1	0	0	1	
112	1	965	10	0	0	1	0	1	1	
113	5	965	7	1	0	1	1	0	0	
114	41	520	5	0	0	1	1	0	1	
115	41	520	5	0	0	1	1	0	1	
116	29	730	8	1	1	0	0	0	0	
117	8	565	5	1	0	0	0	1	1	
118	33	960	9	0	1	1	0	0	1	
119	32	890	5	0	1	0	0	1	0	
120	16	275	6	1	0	1	0	1	0	
121	5	965	7	1	0	1	1	0	0	
122	2	555	6	0	0	0	1	1	1	
123	38	675	10	1	1	0	1	0	0	
124	1	770	7	1	0	0	0	1	1	
125	23	495	8	0	0	0	1	0	1	
126	8	405	10	1	0	0	1	1	0	
127	9	825	8	0	1	1	1	0	0	
128	19	900	9	1	0	0	0	1	1	
129	19	900	9	1	0	0	0	1	1	
130	33	960	9	0	1	1	0	0	1	
131	5	965	7	1	0	1	1	0	0	
132	1	975	10	1	0	0	0	0	1	
133	1	965	10	0	0	1	0	1	1	
134	11	305	9	1	0	0	1	1	0	
135	1	965	10	0	0	1	0	1	1	
136	11	305	9	1	0	0	1	1	0	
137	8	405	10	1	0	0	1	1	0	
138	6	940	8	1	1	0	1	0	0	
139	38	675	10	1	1	0	1	0	0	
140	33	960	9	0	1	1	0	0	1	
141	6	940	8	1	1	0	1	0	0	
142	17	740	5	1	0	0	1	1	0	
143	2	845	7	1	1	0	0	0	1	
144	6	940	8	1	1	0	1	0	0	
145	1	965	10	0	0	1	0	1	1	
146	17	740	5	1	0	0	1	1	0	
147	9	825	8	0	1	1	1	0	0	
148	1	890	9	1	1	0	0	0	1	
149	19	125	6	1	0	0	0	1	1	
150	23	495	8	0	0	0	1	0	1	
151	1	965	10	0	0	1	0	1	1	
152	9	825	8	0	1	1	1	0	0	
153	5	965	7	1	0	1	1	0	0	
154	6	940	8	1	1	0	1	0	0	
155	1	890	9	1	1	0	0	0	1	
156	33	960	9	0	1	1	0	0	1	
157	33	960	9	0	1	1	0	0	1	
158	18	130	9	0	1	0	1	0	1	
159	23	495	8	0	0	0	1	0	1	
160	33	960	9	0	1	1	0	0	1	
161	1	965	10	0	0	1	0	1	1	
162	1	965	10	0	0	1	0	1	1	
163	8	405	10	1	0	0	1	1	0	
164	1	850	6	0	0	1	1	0	1	
165	23	495	8	0	0	0	1	0	1	
166	20	515	10	0	1	1	1	0	0	
167	33	960	9	0	1	1	0	0	1	
168	1	890	9	1	1	0	0	0	1	
169	32	890	5	0	1	0	0	1	0	
170	1	770	7	1	0	0	0	1	1	
171	9	825	8	0	1	1	1	0	0	
172	33	960	9	0	1	1	0	0	1	
173	5	965	7	1	0	1	1	0	0	
174	5	965	7	1	0	1	1	0	0	
175	29	730	8	1	1	0	0	0	0	

